number of elements,lab4 quick sort,lab6 binary quicksort
100,2174,231
200,4624,421
300,7750,646
400,10669,896
500,13763,1131
600,16651,1366
700,20245,1566
800,23092,1776
900,27369,2001
1000,31098,2226
1100,33662,2466
1200,38368,2706
1300,41497,2956
1400,44738,3176
1500,48866,3391
1600,52421,3596
1700,55943,3796
1800,60691,4016
1900,64267,4206
2000,68131,4381
2100,72508,4571
2200,74536,4796
2300,78744,4981
2400,85774,5201
2500,87915,5451
2600,91678,5701
2700,95464,5926
2800,100636,6121
2900,104936,6321
3000,108294,6541
3100,110762,6741
3200,116069,6951
3300,120443,7181
3400,126804,7391
3500,134498,7616
3600,130515,7821
3700,137981,7996
3800,140230,8191
3900,145932,8396
4000,151514,8621
4100,157210,8801
4200,157499,9001
4300,158216,9211
4400,165687,9446
4500,170409,9656
4600,175152,9856
4700,182680,10071
4800,186196,10326
4900,187252,10556
5000,191308,10796
5100,194153,11031
5200,197508,11216
5300,211312,11421
5400,207306,11621
5500,214345,11871
5600,221098,12116
5700,222994,12336
5800,231177,12546
5900,233819,12811
6000,235888,13026
6100,236269,13246
6200,240738,13461
6300,247048,13681
6400,253161,13881
6500,263763,14121
6600,268300,14356
6700,264775,14566
6800,273237,14771
6900,272286,14966
7000,288034,15186
7100,282767,15456
7200,291532,15661
7300,296403,15891
7400,297367,16116
7500,302848,16306
7600,304846,16501
7700,309097,16706
7800,312310,16916
7900,316820,17151
8000,320261,17391
8100,326945,17581
8200,332914,17861
8300,345784,18081
8400,348034,18276
8500,347983,18511
8600,350803,18776
8700,366365,18956
8800,359701,19146
8900,367226,19366
9000,372859,19576
9100,376773,19751
9200,382657,19971
9300,379777,20171
9400,393798,20391
9500,394488,20616
9600,396781,20826
9700,400120,21011
9800,413515,21246
9900,405761,21481
10000,415422,21696
