number of elements,lab2 selection sort,lab3 cocktail shaker sort,lab4 quick sort,lab5 merge sort
100,5339,1364,2174,3481
200,20815,5436,4624,7769
300,46342,12002,7750,12345
400,81795,21248,10669,17145
500,127386,35407,13763,21945
600,182898,48052,16651,27097
700,248408,60760,20245,32297
800,324007,84360,23092,37497
900,409541,105732,27369,42697
1000,505056,133574,31098,47897
1100,610544,162509,33662,53401
1200,726107,186764,38368,59001
1300,851628,229134,41497,64601
1400,987282,259031,44738,70201
1500,1132856,293417,48866,75801
1600,1288244,343665,52421,81401
1700,1453744,376587,55943,87001
1800,1629400,433587,60691,92601
1900,1814934,476115,64267,98201
2000,2010371,534354,68131,103801
2100,2215859,576317,72508,109609
2200,2431520,618710,74536,115609
2300,2656963,690579,78744,121609
2400,2892638,747574,85774,127609
2500,3138082,825008,87915,133609
2600,3393809,873923,91678,139609
2700,3659425,951109,95464,145609
2800,3934783,1033926,100636,151609
2900,4220045,1138364,104936,157609
3000,4515650,1188956,108294,163609
3100,4821018,1262282,110762,169609
3200,5136914,1325365,116069,175609
3300,5462285,1448842,120443,181609
3400,5797879,1494576,126804,187609
3500,6143391,1617942,134498,193609
3600,6499063,1705917,130515,199609
3700,6864616,1827201,137981,205609
3800,7240016,1918935,140230,211609
3900,7625741,2019953,145932,217609
4000,8021239,2113171,151514,223609
4100,8426676,2197115,157210,229625
4200,8842312,2332905,157499,236025
4300,9267512,2442346,158216,242425
4400,9702852,2557493,165687,248825
4500,10148986,2667230,170409,255225
4600,10604303,2780898,175152,261625
4700,11070101,2951053,182680,268025
4800,11545276,3004444,186196,274425
4900,12031050,3110055,187252,280825
5000,12526556,3248772,191308,287225
5100,13032208,3446714,194153,293625
5200,13547429,3544983,197508,300025
5300,14073075,3775115,211312,306425
5400,14608883,3892781,207306,312825
5500,15154435,3985642,214345,319225
5600,15710202,4075382,221098,325625
5700,16275405,4272227,222994,332025
5800,16851254,4364673,231177,338425
5900,17435993,4544163,233819,344825
6000,18031554,4751143,235888,351225
6100,18637335,4865161,236269,357625
6200,19252840,5050477,240738,364025
6300,19878289,5245788,247048,370425
6400,20514148,5356161,253161,376825
6500,21159460,5584202,263763,383225
6600,21814976,5736676,268300,389625
6700,22480497,5931423,264775,396025
6800,23156770,6100870,273237,402425
6900,23841736,6324126,272286,408825
7000,24537467,6386770,288034,415225
7100,25243172,6665806,282767,421625
7200,25958704,6836902,291532,428025
7300,26684113,6934640,296403,434425
7400,27419176,7195374,297367,440825
7500,28164686,7409549,302848,447225
7600,28920628,7584395,304846,453625
7700,29686088,7851259,309097,460025
7800,30461677,7968860,312310,466425
7900,31246921,8169329,316820,472825
8000,32042413,8396932,320261,479225
8100,32848378,8585332,326945,485625
8200,33663752,8765696,332914,492057
8300,34488876,8983832,345784,498857
8400,35324811,9370090,348034,505657
8500,36170665,9577098,347983,512457
8600,37025587,9798877,350803,519257
8700,37891178,9751554,366365,526057
8800,38767023,10138777,359701,532857
8900,39652975,10306369,367226,539657
9000,40547843,10513924,372859,546457
9100,41454059,10832579,376773,553257
9200,42369218,11124552,382657,560057
9300,43294590,11361820,379777,566857
9400,44230376,11675086,393798,573657
9500,45175820,11792758,394488,580457
9600,46131679,12082504,396781,587257
9700,47096495,12319992,400120,594057
9800,48072210,12562408,413515,600857
9900,49057932,12816231,405761,607657
10000,50053594,13115970,415422,614457
