number of elements,compares+assignments
100,191
200,426
300,666
400,911
500,1121
600,1331
700,1546
800,1751
900,1961
1000,2196
1100,2396
1200,2606
1300,2871
1400,3096
1500,3316
1600,3531
1700,3776
1800,4001
1900,4251
2000,4456
2100,4666
2200,4881
2300,5081
2400,5331
2500,5536
2600,5746
2700,5941
2800,6191
2900,6391
3000,6576
3100,6781
3200,6976
3300,7201
3400,7386
3500,7596
3600,7796
3700,8021
3800,8226
3900,8431
4000,8636
4100,8831
4200,9056
4300,9276
4400,9446
4500,9656
4600,9871
4700,10081
4800,10301
4900,10506
5000,10736
5100,10936
5200,11146
5300,11401
5400,11616
5500,11851
5600,12051
5700,12281
5800,12496
5900,12691
6000,12946
6100,13151
6200,13336
6300,13546
6400,13761
6500,13976
6600,14161
6700,14391
6800,14646
6900,14881
7000,15096
7100,15301
7200,15511
7300,15691
7400,16111
7500,16291
7600,16491
7700,16756
7800,16966
7900,17186
8000,17411
8100,17656
8200,17866
8300,18056
8400,18266
8500,18496
8600,18716
8700,18911
8800,19146
8900,19381
9000,19576
9100,19796
9200,20001
9300,20251
9400,20496
9500,20741
9600,20981
9700,21201
9800,21346
9900,21546
10000,21721
