elems,lab2 selection sort ,lab3 cocktail shaker sort,lab4 quick sort
100,5339,1364,1737
200,20815,5436,3963
300,46342,12002,6278
400,81795,21248,8789
500,127386,35407,11294
600,182898,48052,13946
700,248408,60760,16691
800,324007,84360,19391
900,409541,105732,22681
1000,505056,133574,25910
1100,610544,162509,27686
1200,726107,186764,30298
1300,851628,229134,33398
1400,987282,259031,36162
1500,1132856,293417,39527
1600,1288244,343665,41992
1700,1453744,376587,46385
1800,1629400,433587,47787
1900,1814934,476115,52289
2000,2010371,534354,55366
2100,2215859,576317,57186
2200,2431520,618710,60970
2300,2656963,690579,63749
2400,2892638,747574,66890
2500,3138082,825008,71178
2600,3393809,873923,73011
2700,3659425,951109,78575
2800,3934783,1033926,80598
2900,4220045,1138364,82603
3000,4515650,1188956,85757
3100,4821018,1262282,89438
3200,5136914,1325365,92136
3300,5462285,1448842,97383
3400,5797879,1494576,100054
3500,6143391,1617942,101753
3600,6499063,1705917,104916
3700,6864616,1827201,109867
3800,7240016,1918935,111168
3900,7625741,2019953,114956
4000,8021239,2113171,119506
4100,8426676,2197115,121749
4200,8842312,2332905,125336
4300,9267512,2442346,131504
4400,9702852,2557493,132287
4500,10148986,2667230,136568
4600,10604303,2780898,137628
4700,11070101,2951053,143373
4800,11545276,3004444,145595
4900,12031050,3110055,150738
5000,12526556,3248772,152857
5100,13032208,3446714,157370
5200,13547429,3544983,158179
5300,14073075,3775115,162909
5400,14608883,3892781,168046
5500,15154435,3985642,168030
5600,15710202,4075382,173820
5700,16275405,4272227,176176
5800,16851254,4364673,178808
5900,17435993,4544163,182898
6000,18031554,4751143,185120
6100,18637335,4865161,189843
6200,19252840,5050477,194621
6300,19878289,5245788,197781
6400,20514148,5356161,199950
6500,21159460,5584202,204198
6600,21814976,5736676,209005
6700,22480497,5931423,210145
6800,23156770,6100870,218350
6900,23841736,6324126,221823
7000,24537467,6386770,222525
7100,25243172,6665806,227340
7200,25958704,6836902,228741
7300,26684113,6934640,232326
7400,27419176,7195374,235232
7500,28164686,7409549,238111
7600,28920628,7584395,243138
7700,29686088,7851259,244907
7800,30461677,7968860,249161
7900,31246921,8169329,250235
8000,32042413,8396932,255908
8100,32848378,8585332,264783
8200,33663752,8765696,263518
8300,34488876,8983832,267586
8400,35324811,9370090,273618
8500,36170665,9577098,272460
8600,37025587,9798877,276707
8700,37891178,9751554,284456
8800,38767023,10138777,287685
8900,39652975,10306369,294484
9000,40547843,10513924,293557
9100,41454059,10832579,298636
9200,42369218,11124552,304901
9300,43294590,11361820,305371
9400,44230376,11675086,307559
9500,45175820,11792758,307391
9600,46131679,12082504,311152
9700,47096495,12319992,317644
9800,48072210,12562408,323728
9900,49057932,12816231,330715
10000,50053594,13115970,332098
